Hearing Date,Hearing Time,Scheduled Hearing Location,Ticket Number,Respondent Last Name,Balance Due,Charge #1: Code Section,Hearing Status,Hearing Result,Violation Date,Violation Time,Issuing Agency,Respondent First Name,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
11/13/2015,10:30:00,MANHATTAN,0880711756,RUGIN MGMT CO INC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01425,0005,211,EAST 70 STREET,,NEW YORK,10021,NEW YORK,MANHATTAN,345,PARK AVENUE,NEW YORK,10154,NEW YORK,MANHATTAN,11/13/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,10:30:00,MANHATTAN,0880711655,681 FIFTH AVENUE LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01289,0072,681,5 AVENUE,,NEW YORK,10022,NEW YORK,MANHATTAN,681,5 AVENUE,NEW YORK,10022,NEW YORK,MANHATTAN,11/19/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2015,10:30:00,MANHATTAN,0880711637,501 FIFTH AVENUE CO,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01276,0069,501,5 AVENUE,,NEW YORK,10017,NEW YORK,MANHATTAN,501,5 AVENUE,NEW YORK,10017,NEW YORK,MANHATTAN,12/14/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2015,10:30:00,MANHATTAN,0880711774,THE ANIMAL MEDICAL CENTR,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01474,0040,510,EAST 62 STREET,,NEW YORK,10065,NEW YORK,MANHATTAN,510,EAST 62 STREET,NEW YORK,10065,NEW YORK,MANHATTAN,12/18/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2015,10:30:00,MANHATTAN,0880711673,METROPOLITAN SUTTON ASSOCIATES,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01348,0036,328,EAST 56 STREET,,NEW YORK,10022,NEW YORK,MANHATTAN,330,EAST 56 STREET,NEW YORK,10022,NEW YORK,MANHATTAN,12/21/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2015,08:30:00,MANHATTAN,0880711783,CORNERSTONE YORK LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01484,0049,1368,YORK AVENUE,,NEW YORK,10021,NEW YORK,MANHATTAN,1368,YORK AVENUE,NEW YORK,10021,NEW YORK,MANHATTAN,12/28/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/02/2016,09:30:00,MANHATTAN,0880711866,RIVER ARTS COOPEARTIVE,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,02135,0060,669,WEST 158 STREET,,NEW YORK,10032,NEW YORK,MANHATTAN,15818,RIVERSIDE DRIVE,NEW YORK,10032,NEW YORK,MANHATTAN,03/02/2016,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,08:30:00,MANHATTAN,0880711664,MADISON 54TH ST ASSOCS,$0.00,NYCHC 3.05,PAID IN FULL,DEFAULTED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01290,0027,55,EAST 54 STREET,,NEW YORK,10022,NEW YORK,MANHATTAN,535,MADISON AVENUE,NEW YORK,10022,NEW YORK,,11/23/2015,$1000.00,20151116N,,,$2000.00,$2000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,08:30:00,MANHATTAN,0880711480,BSD MICHAEL 101 LLC,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,00846,0002,101,5 AVENUE,,NEW YORK,10003,NEW YORK,MANHATTAN,485,7 AVENUE,NEW YORK,10018,NEW YORK,,11/23/2015,$1000.00,20151116N,01/22/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,08:30:00,MANHATTAN,0880711801,DRMBRE-85 FEE LLC,$1800.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01514,0039,185,EAST 85 STREET,,NEW YORK,10028,NEW YORK,MANHATTAN,1524,3 AVENUE,NEW YORK,10028,NEW YORK,,11/23/2015,$1000.00,20151116N,01/22/2016,,$2000.00,$200.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2015,10:30:00,SAU: MANH,0880711930,MUTUAL REDEVELOPMENT HOUSES IN,$0.00,NYCHC 3.05,PAID IN FULL,IN VIOLATION,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,00751,0001,307,WEST 26 STREET,,NEW YORK,10001,NEW YORK,MANHATTAN,340,WEST 28 STREET,NEW YORK,10001,NEW YORK,SAU: MANH,11/20/2015,$1000.00,20151116N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2016,09:30:00,MANHATTAN,0880711967,MORNINGSIDE HGTS HOUSING CORP,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01978,0001,80,LA SALLE STREET,,NEW YORK,10027,NEW YORK,MANHATTAN,90,LA SALLE STREET,NEW YORK,10027,NEW YORK,MANHATTAN,02/03/2016,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2016,09:30:00,MANHATTAN,0880712003,OWNER AGENT,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,00553,7502,173,MAC DOUGAL STREET,,NEW YORK,10011,NEW YORK,MANHATTAN,171,MAC DOUGAL STREET,NEW YORK,10011,NEW YORK,MANHATTAN,02/03/2016,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,08:30:00,BROOKLYN,0880712205,166 NORTH 7TH ST LLC,$0.00,NYCHC 3.05,PAID IN FULL,,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,02328,0008,185,BEDFORD AVENUE,,BROOKLYN,11211,NEW YORK,QUEENS,5247,BROWVALE LANE,LITTLE NECK,11362,NEW YORK,,,$1000.00,20151118N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2015,10:30:00,SAU: MANH,0880712104,JAY MARC SCWAMM JUDITH S SNO,$0.00,NYCHC 3.05,PAID IN FULL,IN VIOLATION,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BRONX,02327,0039,524,COURTLANDT AVENUE,,BRONX,10451,NEW YORK,MANHATTAN,870,5 AVENUE,NEW YORK,10065,NEW YORK,SAU: MANH,11/05/2015,$1000.00,20151201Y,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2015,10:30:00,MANHATTAN,0880712068,10-12 COOPER SQUARE INC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,00544,0065,2,COOPER SQUARE,,NEW YORK,10003,NEW YORK,MANHATTAN,1185,SIXTH AVENUE 10TH F,NEW YORK,10036,NEW YORK,SAU: MANH,12/22/2015,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,10:30:00,BROOKLYN,0880712178,40-16 NATIONAL ASSOCIATION LLC,$0.00,NYCHC 3.05,PAID IN FULL,DEFAULTED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,00963,0047,130,7 AVENUE,,BROOKLYN,11215,NEW YORK,BROOKLYN,130,7 AVENUE,BROOKLYN,11215,NEW YORK,,11/23/2015,$1000.00,20151118N,,,$1030.00,$1030.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2016,09:30:00,MANHATTAN,0880712077,E 46 GROUP LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,MANHATTAN,01281,0061,16,EAST 46 STREET,,NEW YORK,10017,NEW YORK,QUEENS,1408,31 AVENUE,ASTORIA,11106,NEW YORK,MANHATTAN,02/17/2016,$1000.00,20151116N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2015,08:30:00,BROOKLYN,0880712288,WFM PROPERTIES BROOKLYN LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,,,214,THIRD ST,,BROOKLYN,11215,NEW YORK,NOT NYC,930,SYLVAN AVE,ENGLEWOOD CLIFF,07632,NEW JERSEY,BROOKLYN,11/04/2015,$1000.00,20151118N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,08:30:00,BROOKLYN,0880712232,S I CONEY ISLAND REALTY,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,07462,0061,1633,SHEEPSHEAD BAY ROAD,,BROOKLYN,11235,NEW YORK,BROOKLYN,1633,SHEEPSHEAD BAY ROAD,BROOKLYN,11235,NEW YORK,BROOKLYN,11/19/2015,$1000.00,20151118N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2015,08:30:00,BROOKLYN,0880712241,S I CONEY ISLAND REALTY,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,07462,0061,1633,SHEEPSHEAD BAY ROAD,,BROOKLYN,11235,NEW YORK,BROOKLYN,1633,SHEEPSHEAD BAY ROAD,BROOKLYN,11235,NEW YORK,BROOKLYN,11/19/2015,$1000.00,20151118N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,08:30:00,BROOKLYN,0880712223,RUTLEDGE REALTY LLC,$0.00,NYCHC 3.05,PAID IN FULL,DEFAULTED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,03063,0017,260,BUSHWICK AVENUE,,BROOKLYN,11206,NEW YORK,BROOKLYN,315,RUTLEDGE STREET,BROOKLYN,11211,NEW YORK,,11/23/2015,$1000.00,20151118N,,,$1030.00,$1030.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2016,09:30:00,MANHATTAN,0880712260,S I CONEY ISLAND REALTY,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,07462,0061,1633,SHEEPSHEAD BAY ROAD,,BROOKLYN,11235,NEW YORK,BROOKLYN,1633,SHEEPSHEAD BAY ROAD,BROOKLYN,11235,NEW YORK,MANHATTAN,01/29/2016,$1000.00,20151118N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2016,09:00:00,BROOKLYN,0880712214,WILLIAMSBURG LOFTS LLC-C O CHR,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,02441,0024,390,WYTHE AVENUE,,BROOKLYN,11249,NEW YORK,MANHATTAN,33,EAST 20 STREET,NEW YORK,10003,NEW YORK,BROOKLYN,02/17/2016,$1000.00,20151118N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,08:30:00,BROOKLYN,0880712150,DENISE MARIA FOFFE,$2000.00,NYCHC 3.05,DEFAULTED,DEFAULTED,10/15/2015,13:17:00,COOLING TOWERS - DOHMH,,BROOKLYN,00243,0017,141,MONTAGUE STREET,,BROOKLYN,11201,NEW YORK,BROOKLYN,155,MONTAGUE STREET,BROOKLYN,11201,NEW YORK,,11/23/2015,$1000.00,20151118N,01/22/2016,,$2000.00,$0.00,$0.00,Penalty Due,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,10:30:00,MANHATTAN,0880698318,5 PENN PLAZA LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,00757,0031,5,PENN PLAZA,,NEW YORK,10001,NEW YORK,MANHATTAN,5,PENN PLAZA,NEW YORK,10001,NEW YORK,MANHATTAN,10/27/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,08:30:00,MANHATTAN,0880698327,5 PENN PLAZA LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,00757,0031,5,PENN PLAZA,,NEW YORK,10001,NEW YORK,MANHATTAN,5,PENN PLAZA,NEW YORK,10001,NEW YORK,MANHATTAN,10/27/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,08:30:00,MANHATTAN,0880698290,88 UNIVERSITY PLACE ASSOCIATES,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,00569,0024,88,UNIVERSITY PLACE,,NEW YORK,10003,NEW YORK,MANHATTAN,30,WEST 26 STREET,NEW YORK,10010,NEW YORK,MANHATTAN,10/28/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2015,08:30:00,QUEENS,0880704359,S C PROPERTIES CHARLOTTE RATAF,$0.00,NYCHC 3.05,PAID IN FULL,,09/30/2015,15:31:00,COOLING TOWERS - DOHMH,,QUEENS,00639,0004,35-45,35 STREET,,ASTORIA,11106,NEW YORK,QUEENS,2,BAY CLUB DRIVE,BAYSIDE,11360,NEW YORK,,,$1000.00,20151102N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,08:30:00,MANHATTAN,0880698583,JEWISH THEOLOGICAL SEMINAR,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,01977,0001,3080,BROADWAY,,NEW YORK,10027,NEW YORK,MANHATTAN,3080,BROADWAY,NEW YORK,10027,NEW YORK,MANHATTAN,10/27/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,08:30:00,MANHATTAN,0880698464,BR REALTY CO L P,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,01308,0033,880,3 AVENUE,,NEW YORK,10022,NEW YORK,MANHATTAN,880,3 AVENUE,NEW YORK,10022,NEW YORK,MANHATTAN,10/28/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,08:30:00,MANHATTAN,0880698620,900 3RD AVE L P C O,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,01309,0032,900,3 AVENUE,,NEW YORK,10022,NEW YORK,MANHATTAN,1633,BROADWAY,NEW YORK,10019,NEW YORK,MANHATTAN,10/28/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,10:30:00,QUEENS,0880698675,HUDSON ISLAND LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,01871,7501,245,WEST 99 STREET,,NEW YORK,10025,NEW YORK,NOT NYC,2700,WESTCHESTER AVE,PURCHASE,10577,NEW YORK,QUEENS,10/21/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,10:30:00,QUEENS,0880698895,SUNGARD DATA SYSTEMS INC,$0.00,NYCHC 3.05,PAID IN FULL,IN VIOLATION,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,QUEENS,00436,0021,23-10,43 AVENUE,,LONG ISLAND CIT,11101,NEW YORK,NOT NYC,680,E SWEDESFORD RD,WAYNE,19087,PENNSYLVANIA,QUEENS,10/29/2015,$1000.00,20151021N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2015,09:30:00,BROOKLYN,0880698794,CHURCH OF GOD OF CHURCH AVENUE,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,BROOKLYN,04711,0012,629,REMSEN AVENUE,,BROOKLYN,11236,NEW YORK,BROOKLYN,627,REMSEN AVENUE,BROOKLYN,11236,NEW YORK,BROOKLYN,12/08/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2015,10:30:00,MANHATTAN,0880698419,WOODWARD AFFLILIATES,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,01026,0041,210,WEST 55 STREET,,NEW YORK,10019,NEW YORK,MANHATTAN,1724,BROADWAY,NEW YORK,10019,NEW YORK,MANHATTAN,12/18/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2016,03:30:00,BY PHONE,0880698657,S P 26 DEVELOPMENT ASSOCIATES,$0.00,NYCHC 3.05,PAID IN FULL,IN VIOLATION,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,00801,0034,100,WEST 26 STREET,,NEW YORK,10001,NEW YORK,MANHATTAN,575,MADISON AVENUE,NEW YORK,10022,NEW YORK,SAU: MANH,01/20/2016,$1000.00,20151021N,,,$1000.00,$1000.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,08:30:00,SAU: MANH,0880715038,AMERASIA BANK,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,10/19/2015,12:18:00,COOLING TOWERS - DOHMH,,QUEENS,01549,0021,86-26,BROADWAY,,ELMHURST,11373,NEW YORK,QUEENS,86-26,BROADWAY,ELMHURST,11373,NEW YORK,SAU: MANH,11/24/2015,$1000.00,20151119N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2015,08:30:00,MANHATTAN,0880698372,ST GILES HOTEL LLC,$0.00,NYCHC 3.05,HEARING COMPLETED,DISMISSED,09/21/2015,13:34:00,COOLING TOWERS - DOHMH,,MANHATTAN,00894,0071,130,EAST 39 STREET,,NEW YORK,10016,NEW YORK,MANHATTAN,130,EAST 39 STREET,NEW YORK,10016,NEW YORK,MANHATTAN,10/21/2015,$1000.00,20151021N,,,$0.00,$0.00,$0.00,All Terms Met,,AH3K,"FAILING TO COMPLY WITH DEPT, BOARD OF HEALTH, OR COMMISSIONER'S ORDER",$1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
