,Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount,BBL
138,037000245Z,09/21/2015,01:40:00,DEPT. OF BUILDINGS,MARTINQUE HTL ADDILIATES,,$0.00,1,00834,0011,1260,BROADWAY,,MH,10001.0,NEW YORK,MANHATTAN,1260,BROADWAY,NY,10001.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/16/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008340011
139,037000234N,09/21/2015,08:00:00,DEPT. OF BUILDINGS,THE TRUSTEES OF COLUMBIA UNIVE,,$0.00,1,,0000,102,HAVEN AVENUE,,MH,,NEW YORK,MANHATTAN,650,WEST 168 STREET,NY,10032.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/23/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000
140,037000230X,09/21/2015,11:10:00,DEPT. OF BUILDINGS,NEW YORK UNIVERSITY,,$0.00,1,00931,0021,333 REAR,EAST 25 STREET,,MAN,10010.0,NEW YORK,MANHATTAN,105,EAST 17 STREET,NEW YORK,10003.0,NEW YORK,PAID IN FULL,DEFAULTED,MANHATTAN,12/17/2015,08:30:00,MANHATTAN,12/23/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$830.00,$830.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009310021
141,037000232J,09/21/2015,02:00:00,DEPT. OF BUILDINGS,THE RIVERSIDE CHURCH,,$4000.00,1,01991,0032,478,RIVERSIDE DRIVE,,MH,10027.0,NEW YORK,MANHATTAN,490,RIVERSIDE DRIVE,NEW YORK,10027.0,NEW YORK,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019910032
142,037000262K,09/21/2015,11:15:00,DEPT. OF BUILDINGS,ONE COLUMBUS PLACE PARTNERS LL,,$0.00,1,01068,0003,400,WEST 59 STREET,,NEW YORK,10019.0,NEW YORK,MANHATTAN,400,WEST 59 STREET,NEW YORK,10019.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/27/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010680003
143,037000261Z,09/21/2015,02:10:00,DEPT. OF BUILDINGS,OWNER OF 345 EAST 50 STREET,,$0.00,1,01343,7504,345,EAST 50 STREET,,MANHATTAN,10022.0,NEW YORK,MANHATTAN,345,EAST 50 STREET,NEW YORK,10022.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/29/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013437504
144,037000259J,09/21/2015,10:05:00,DEPT. OF BUILDINGS,ALLEN PLAZA ASSOC.,,$0.00,1,00493,7501,16,PRINCE STREET,,NY,10012.0,NEW YORK,MANHATTAN,666,BROADWAY,NY,10012.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004937501
145,037000264Y,09/21/2015,07:15:00,DEPT. OF BUILDINGS,203 EAST 72 STREET CORP,,$0.00,1,01427,0001,1257,3 AVENUE,,MANHATTAN,10021.0,NEW YORK,MANHATTAN,201,EAST 42 STREET,NEW YORK,10017.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,01/07/2016,08:30:00,MANHATTAN,01/07/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014270001
146,037000274H,09/21/2015,09:10:00,DEPT. OF BUILDINGS,460 PARK AVE SOUTH ASSOCIAT,,$0.00,1,00860,0045,450,PARK AVENUE SOUTH,,MAN,10016.0,NEW YORK,NOT NYC,,PO BOX 17663,ARLINGTON,22216.0,VIRGINIA,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008600045
147,037000271M,09/21/2015,07:50:00,DEPT. OF BUILDINGS,DASILVA ROGER M,,$0.00,1,00890,7503,143,EAST 34 STREET,,MAN,10016.0,NEW YORK,MANHATTAN,143,EAST 34 STREET,NEW YORK,10016.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/20/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008907503
148,037000278P,09/21/2015,04:50:00,DEPT. OF BUILDINGS,LYCEE FRANCAIS DE NEW YORK,,$0.00,1,01487,0005,503,EAST 75 STREET,,MANHATTAN,10021.0,NEW YORK,MANHATTAN,503,EAST 75 STREET,NEW YORK,10021.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014870005
149,037000275J,09/21/2015,12:55:00,DEPT. OF BUILDINGS,EXTRA PLACE HDFC,,$0.00,1,00457,0001,305,BOWERY,,MH,10003.0,NEW YORK,MANHATTAN,902,BROADWAY,NEW YORK,10010.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/30/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004570001
150,037000268L,09/21/2015,03:30:00,DEPT. OF BUILDINGS,SL GREEN REALTY CORP,,$0.00,1,01329,0001,915,3 AVENUE,,MANHATTAN,10022.0,NEW YORK,MANHATTAN,919,3 AVENUE,NEW YORK,10022.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/04/2015,10:30:00,MANHATTAN,11/04/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013290001
151,037000285N,09/21/2015,04:05:00,DEPT. OF BUILDINGS,YESHIVA UNIVERSITY,,$0.00,1,02156,0061,515,WEST 185 STREET,,NY,10033.0,NEW YORK,MANHATTAN,2495,AMSTERDAM AVENUE,NY,10033.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/09/2015,10:30:00,MANHATTAN,11/09/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021560061
152,037000280Y,09/21/2015,07:55:00,DEPT. OF BUILDINGS,270 GREENWICH STREET ASSOC.,,$0.00,1,00142,7501,270,GREENWICH STREET,,NY,10007.0,NEW YORK,MANHATTAN,1325,AVENUE OF THE AMERICAS,NY,10019.0,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001427501
153,037000263M,09/21/2015,07:05:00,DEPT. OF BUILDINGS,OWNER OF 1260 3 AVE,,$4000.00,1,01407,0033,1260,3 AVENUE,,MANHATTAN,10021.0,NEW YORK,MANHATTAN,1250,3 AVENUE,NEW YORK,10021.0,NEW YORK,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014070033
154,037000286P,09/21/2015,10:45:00,DEPT. OF BUILDINGS,RICE BOWL REALTY CORP,,$0.00,1,00164,0009,52,MULBERRY STREET,,NY,10013.0,NEW YORK,MANHATTAN,48,MULBERRY STREET,NY,10013.0,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001640009
155,037000294P,09/21/2015,03:13:00,DEPT. OF BUILDINGS,HOSTOS COMMUNITY COLLEGE,,$0.00,2,02343,0032,484,GRAND CONCOURSE,,BX,10451.0,NEW YORK,BRONX,500,GRAND CONCOURSE,BX,10451.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/02/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023430032
156,037000300M,09/21/2015,08:14:00,DEPT. OF BUILDINGS,PALISADE NURSING HOME,,$0.00,2,05933,0210,5931,PALISADE AVENUE,,BX,10471.0,NEW YORK,BRONX,5901,PALISADE AVENUE,BX,10471.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/07/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059330210
157,037000301Y,09/21/2015,07:24:00,DEPT. OF BUILDINGS,3202 LLC,,$0.00,2,03343,0001,3200,BAINBRIDGE AVENUE,,BX,10467.0,NEW YORK,BRONX,271,EAST 205 STREET,BX,10467.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/20/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033430001
158,037000323P,09/21/2015,03:59:00,DEPT. OF BUILDINGS,3339 PARK DEVELOPMENT LLC,,$0.00,2,02424,0053,380,EAST 165 STREET,,BX,10456.0,NEW YORK,BROOKLYN,3154,EMMONS AVENUE,BK,11235.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/20/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024240053
159,037000307P,09/21/2015,10:40:00,DEPT. OF BUILDINGS,"JEWISH HOME LIFECARE,HARRY AN",,$0.00,2,03220,0037,100,WEST KINGSBRIDGE ROAD,,BX,10468.0,NEW YORK,BRONX,100,WEST KINGSBRIDGE ROAD,BX,10468.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,10/22/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032200037
160,037000324R,09/21/2015,09:55:00,DEPT. OF BUILDINGS,OWNER OF,,$0.00,2,03247,0165,250,BEDFORD PARK BL WEST,,BX,10468.0,NEW YORK,BRONX,250,BEDFORD PARK BL WEST,BX,10468.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BRONX,11/20/2015,10:30:00,STATEN IS,11/02/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032470165
161,037000292L,09/21/2015,12:18:00,DEPT. OF BUILDINGS,140 CORP,,$0.00,2,02314,0058,296,EAST 140 STREET,,BX,10454.0,NEW YORK,NOT NYC,9,PARK PL,GREAT NECK,11021.0,NEW YORK,PAID IN FULL,STIPULATED,BRONX,11/20/2015,10:30:00,STATEN IS,11/19/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023140058
162,037000293N,09/21/2015,01:19:00,DEPT. OF BUILDINGS,FRAJE REALTY CORP,,$0.00,2,02326,0040,2733,3 AVENUE,,BX,10451.0,NEW YORK,NOT NYC,22,DUTCHESS DR,ORANGEBURG,10962.0,NEW YORK,PAID IN FULL,IN VIOLATION,BRONX,11/20/2015,10:30:00,BRONX,11/20/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$400.00,$400.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023260040
163,037000308R,09/21/2015,05:25:00,DEPT. OF BUILDINGS,MCFARLAND,MICHAEL C.,$0.00,2,03273,0390,515,EAST FORDHAM ROAD,,BX,10458.0,NEW YORK,MANHATTAN,39,EAST 83 STREET,NY,10028.0,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,12/24/2015,10:30:00,BRONX,12/24/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032730390
164,037000328Y,09/21/2015,09:00:00,DEPT. OF BUILDINGS,"HYMIL ASSOCIATES,LLC",,$0.00,2,05777,0714,3824,WALDO AVENUE,,BX,10463.0,NEW YORK,BRONX,3211,BAINBRIDGE AVENUE,BX,10467.0,NEW YORK,HEARING COMPLETED,DISMISSED,BRONX,02/12/2016,08:30:00,BRONX,02/12/2016,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057770714
165,037000267J,09/21/2015,06:00:00,DEPT. OF BUILDINGS,CPT 520 W 23 OWNER LLC,,$0.00,1,01071,0042,523,WEST 42 STREET,,NEW YORK,10036.0,NEW YORK,NOT NYC,3520,PIEDMONT RD NE,ATLANTA,30305.0,GEORGIA,HEARING COMPLETED,DISMISSED,MANHATTAN,10/24/2016,10:30:00,MANHATTAN,10/24/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010710042
166,037000351M,09/21/2015,09:40:00,DEPT. OF BUILDINGS,ATLANTIC APTS,,$0.00,3,00284,0017,100,ATLANTIC AVENUE,,BKLYN,11201.0,NEW YORK,MANHATTAN,19,WEST 21 STREET,NY,10010.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/07/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3002840017
167,037000357N,09/21/2015,06:10:00,DEPT. OF BUILDINGS,720 WASHINGTON AVENUE,,$0.00,3,01160,0037,720,WASHINGTON AVENUE,,BKLYN,11238.0,NEW YORK,BROOKLYN,720,WASHINGTON AVENUE,BKLYN,11238.0,NEW YORK,HEARING COMPLETED,DISMISSED,BROOKLYN,10/15/2015,10:30:00,BROOKLYN,10/15/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3011600037
168,037000349N,09/21/2015,09:40:00,DEPT. OF BUILDINGS,ATLANTIC APARTMENTS,,$0.00,3,00284,0017,96,ATLANTIC AVENUE,,BKLYN,11201.0,NEW YORK,MANHATTAN,19,WEST 21 STREET,NY,10010.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/20/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3002840017
169,037000346H,09/21/2015,08:05:00,DEPT. OF BUILDINGS,141 LIVINGSTON OWNER LLC,,$0.00,3,00154,0028,141,LIVINGSTON STREET,,BKLYN,11201.0,NEW YORK,BROOKLYN,4611,12 AVENUE,BKLYN,11219.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/26/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001540028
170,037000355J,09/21/2015,02:55:00,DEPT. OF BUILDINGS,SALMAR PROPERTIES LLC,,$0.00,3,00671,0001,850,3 AVENUE,,BKLYN,11232.0,NEW YORK,BROOKLYN,5718,2 AVENUE,BKLYN,11220.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006710001
171,037000347J,09/21/2015,03:45:00,DEPT. OF BUILDINGS,FULTON STREET OWNER LLC,,$0.00,3,00155,0010,384,FULTON STREET,,BROOKLYN,11201.0,NEW YORK,MANHATTAN,291,BROADWAY,NEW YORK,10007.0,NEW YORK,HEARING COMPLETED,DISMISSED,BROOKLYN,11/04/2015,10:30:00,BROOKLYN,11/04/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001550010
172,037000361X,09/21/2015,06:20:00,DEPT. OF BUILDINGS,ARBERN BROOKLYN COMM,,$0.00,3,01941,0020,492,DEKALB AVENUE,,BROOKLYN,11205.0,NEW YORK,BROOKLYN,725,CHURCH AVENUE,BROOKLYN,11218.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/13/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019410020
173,037000375R,09/21/2015,00:00:00,DEPT. OF BUILDINGS,"BORO PARK LAND CO.,LLC",,$0.00,3,05639,0001,4915,10 AVENUE,,BROOKLYN,11219.0,NEW YORK,BROOKLYN,4915,10 AVENUE,BROOKLYN,11219.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,10/15/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3056390001
174,037000360Y,09/21/2015,01:10:00,DEPT. OF BUILDINGS,BEDFORD STUYVESANT RESTORATION,,$0.00,3,01862,0014,1368,FULTON STREET,,BKLYN,11216.0,NEW YORK,BROOKLYN,1368,FULTON STREET,BKLYN,11216.0,NEW YORK,HEARING COMPLETED,DISMISSED,BROOKLYN,11/04/2015,10:30:00,BROOKLYN,11/04/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3018620014
175,037000362H,09/21/2015,07:25:00,DEPT. OF BUILDINGS,CHILDREN'S LEISURE PRODUCTS LL,,$0.00,3,02113,0022,644,FULTON STREET,,BKLYN,11217.0,NEW YORK,NOT NYC,2929,WALDEN AVENUE,DEPEW,14043.0,NEW YORK,HEARING COMPLETED,IN VIOLATION,BROOKLYN,11/09/2015,10:30:00,,11/04/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3021130022
