Ticket Number,Violation Date,Violation Time,Issuing Agency,Respondent Last Name,Respondent First Name,Balance Due,Violation Location (Borough),Violation Location (Block No.),Violation Location (Lot No.),Violation Location (House #),Violation Location (Street Name),Violation Location (Floor),Violation Location (City),Violation Location (Zip Code),Violation Location (State Name),Respondent Address (Borough),Respondent Address (House #),Respondent Address (Street Name),Respondent Address (City),Respondent Address (Zip Code),Respondent Address (State Name),Hearing Status,Hearing Result,Scheduled Hearing Location,Hearing Date,Hearing Time,Decision Location (Borough),Decision Date,Total Violation Amount,Violation Details,Date Judgment Docketed,Respondent Address or Facility Number(For FDNY and DOB Tickets),Penalty Imposed,Paid Amount,Additional Penalties or Late Fees,Compliance Status,Violation Description,Charge #1: Code,Charge #1: Code Section,Charge #1: Code Description,Charge #1: Infraction Amount,Charge #2: Code,Charge #2: Code Section,Charge #2: Code Description,Charge #2: Infraction Amount,Charge #3: Code,Charge #3: Code Section,Charge #3: Code Description,Charge #3: Infraction Amount,Charge #4: Code,Charge #4: Code Section,Charge #4: Code Description,Charge #4: Infraction Amount,Charge #5: Code,Charge #5: Code Section,Charge #5: Code Description,Charge #5: Infraction Amount,Charge #6: Code,Charge #6: Code Section,Charge #6: Code Description,Charge #6: Infraction Amount,Charge #7: Code,Charge #7: Code Section,Charge #7: Code Description,Charge #7: Infraction Amount,Charge #8: Code,Charge #8: Code Section,Charge #8: Code Description,Charge #8: Infraction Amount,Charge #9: Code,Charge #9: Code Section,Charge #9: Code Description,Charge #9: Infraction Amount,Charge #10: Code,Charge #10: Code Section,Charge #10: Code Description,Charge #10: Infraction Amount
037000134X,09/22/2015,07:35:00,DEPT. OF BUILDINGS,ST MARYS HOME FOR GIR,,$0.00,MANHATTAN,01427,0011,225,EAST 72 STREET,,MANHATTAN,10021,NEW YORK,MANHATTAN,225,EAST 72 STREET,NEW YORK,10021,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000164R,09/21/2015,03:10:00,DEPT. OF BUILDINGS,CHERYL MOODY,,$0.00,MANHATTAN,01920,0152,150,WEST 136 STREET,,MH,10030,NEW YORK,MANHATTAN,150,WEST 136 STREET,NY,10030,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/30/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000159M,09/21/2015,11:00:00,DEPT. OF BUILDINGS,LITTLE SISTERS OF ASSUMPTION F,,$0.00,MANHATTAN,01687,0017,331,EAST 115 STREET,,MH,10029,NEW YORK,MANHATTAN,331,EAST 115 STREET,NEW YORK,10029,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,12/01/2015,08:30:00,MANHATTAN,12/01/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000156R,09/21/2015,11:20:00,DEPT. OF BUILDINGS,NYS PODIATRIC MED ASSN,,$0.00,MANHATTAN,01613,7501,1255,5 AVENUE,,MH,10029,NEW YORK,MANHATTAN,415,MADISON AVENUE,NY,10017,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,01/14/2016,08:30:00,MANHATTAN,01/14/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000172R,09/21/2015,05:45:00,DEPT. OF BUILDINGS,THE DOWNSTOWN LLC,,$0.00,MANHATTAN,00410,0048,107,RIVINGTON STREET,,MAN,10002,NEW YORK,MANHATTAN,107,RIVINGTON STREET,NEW YORK,10002,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,08:30:00,MANHATTAN,10/15/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000187J,09/21/2015,08:15:00,DEPT. OF BUILDINGS,PARK AVE 35 ST CORP,,$0.00,MANHATTAN,00890,0001,7,PARK AVENUE,,MAN,10016,NEW YORK,MANHATTAN,420,LEXINGTON AVENUE,NEW YORK,10017,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000174K,09/21/2015,01:15:00,DEPT. OF BUILDINGS,THE NEVADA OWNERS INC,,$0.00,MANHATTAN,01141,7502,196,WEST 70 STREET,,NEW YORK,10023,NEW YORK,MANHATTAN,2109,BROADWAY,NEW YORK,10023,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/05/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000163P,09/21/2015,01:30:00,DEPT. OF BUILDINGS,BANK STREET COLLEGE OF ED,,$0.00,MANHATTAN,01894,0056,602,WEST 112 STREET,,MH,10025,NEW YORK,MANHATTAN,610,WEST 112 STREET,NY,10025,NEW YORK,PAID IN FULL,IN VIOLATION,MANHATTAN,11/19/2015,10:30:00,MANHATTAN,11/19/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$400.00,$400.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000122Z,09/21/2015,08:30:00,DEPT. OF BUILDINGS,570 PARK AVENUE CORP,,$0.00,MANHATTAN,01377,0040,568,PARK AVENUE,,NEW YORK,10065,NEW YORK,MANHATTAN,770,LEXINGTON AVENUE,NEW YORK,10065,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,05/19/2016,09:00:00,MANHATTAN,05/19/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000138N,09/21/2015,05:05:00,DEPT. OF BUILDINGS,MEMORIAL SLOAN KETTERING,,$0.00,MANHATTAN,01461,0021,431,EAST 66 STREET,,NY,10065,NEW YORK,MANHATTAN,307,EAST 63 STREET,NY,10065,NEW YORK,PAID IN FULL,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,02/29/2016,,$4000.00,$4159.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000168Y,09/21/2015,04:05:00,DEPT. OF BUILDINGS,YESHIVA UNIVERSITY,,$0.00,MANHATTAN,02156,0016,500,WEST 185 STREET,,NY,10033,NEW YORK,MANHATTAN,500,WEST 185 STREET,NY,10033,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/09/2015,08:30:00,MANHATTAN,11/09/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000169X,09/21/2015,01:50:00,DEPT. OF BUILDINGS,"590 MADISON AVENUE,LLC",,$0.00,MANHATTAN,01292,0008,9,EAST 56 STREET,,NEW YORK,10022,NEW YORK,NOT NYC,1325,AVENUE OF THE AMERIC,NEW YORK,10019,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000226N,09/21/2015,02:00:00,DEPT. OF BUILDINGS,TIAGO HOLDINGS LLC,,$0.00,MANHATTAN,01715,0022,517,EAST 116 STREET,,MH,10029,NEW YORK,MANHATTAN,545,EAST 116 STREET,NY,10029,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000208J,09/21/2015,12:35:00,DEPT. OF BUILDINGS,50 WEST 23RD STREET A LLC,,$0.00,MANHATTAN,00824,0015,43,WEST 22 STREET,,MAN,10010,NEW YORK,MANHATTAN,37,WEST 22 STREET,NEW YORK,10010,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/13/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000212M,09/21/2015,05:55:00,DEPT. OF BUILDINGS,136 MADISON ASSOCIATES L.P,,$0.00,MANHATTAN,00861,0015,20,EAST 32 STREET,,MH,10016,NEW YORK,MANHATTAN,134,MADISON AVENUE,NEW YORK,10016,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/20/2015,$800.00,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000210Z,09/21/2015,04:10:00,DEPT. OF BUILDINGS,MADISON REAL ESTATE ASSOCIATES,,$0.00,MANHATTAN,00858,0017,15,EAST 28 STREET,,MH,10016,NEW YORK,MANHATTAN,86,MADISON AVENUE,NY,10016,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/05/2015,$800.00,28-317.3 FAILURE TO RESGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000192Y,09/21/2015,03:45:00,DEPT. OF BUILDINGS,"CENTER FOR JEWISH HISTORY,INC",,$0.00,MANHATTAN,00818,0027,11,WEST 16 STREET,,MANHATTAN,10011,NEW YORK,MANHATTAN,15,WEST 16 STREET,NEW YORK,10011,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000201R,09/21/2015,11:30:00,DEPT. OF BUILDINGS,CIRCLE 1 LLC,,$0.00,MANHATTAN,00698,0006,549,WEST 26 STREET,,MANHATTAN,10001,NEW YORK,MANHATTAN,888,7 AVENUE,NEW YORK,10019,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/19/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000167M,09/21/2015,04:35:00,DEPT. OF BUILDINGS,PRESBYTERIAN HOSP CTY NY,,$0.00,MANHATTAN,02139,0144,61,HAVEN AVENUE,,MH,10032,NEW YORK,MANHATTAN,411,EAST 71 STREET,NY,10021,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,03/10/2016,09:00:00,MANHATTAN,03/10/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000222X,09/21/2015,09:45:00,DEPT. OF BUILDINGS,CONGREGATION EMANU-EL,,$0.00,MANHATTAN,01380,0001,840,5 AVENUE,,NEW YORK,10065,NEW YORK,MANHATTAN,1,EAST 65 STREET,NEW YORK,10065,NEW YORK,PAID IN FULL,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,02/29/2016,,$4000.00,$4000.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000170N,09/21/2015,04:25:00,DEPT. OF BUILDINGS,LEX 54 CONDOMINIUM C O LOVETT,,$4000.00,MANHATTAN,01309,7502,135,EAST 54 STREET,,MANHATTAN,10022,NEW YORK,MANHATTAN,135,EAST 54 STREET,NEW YORK,10022,NEW YORK,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000209L,09/21/2015,01:45:00,DEPT. OF BUILDINGS,873 BROADWAY LLC C O,,$0.00,MANHATTAN,00847,0016,15,EAST 18 STREET,,MANHATTAN,10003,NEW YORK,MANHATTAN,380,MADISON AVENUE,NEW YORK,10017,NEW YORK,PAID IN FULL,ADMIT IN-VIO,MANHATTAN,12/17/2015,08:30:00,,12/23/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$830.00,$830.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000227P,09/21/2015,12:45:00,DEPT. OF BUILDINGS,156 WEST 106TH STREET HOLDING,,$0.00,MANHATTAN,01860,0020,121,WEST 105 STREET,,MH,10025,NEW YORK,MANHATTAN,111,WEST 105 STREET,NY,10025,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/15/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000245Z,09/21/2015,01:40:00,DEPT. OF BUILDINGS,MARTINQUE HTL ADDILIATES,,$0.00,MANHATTAN,00834,0011,1260,BROADWAY,,MH,10001,NEW YORK,MANHATTAN,1260,BROADWAY,NY,10001,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/16/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000234N,09/21/2015,08:00:00,DEPT. OF BUILDINGS,THE TRUSTEES OF COLUMBIA UNIVE,,$0.00,MANHATTAN,,,102,HAVEN AVENUE,,MH,,NEW YORK,MANHATTAN,650,WEST 168 STREET,NY,10032,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/23/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000230X,09/21/2015,11:10:00,DEPT. OF BUILDINGS,NEW YORK UNIVERSITY,,$0.00,MANHATTAN,00931,0021,333 REAR,EAST 25 STREET,,MAN,10010,NEW YORK,MANHATTAN,105,EAST 17 STREET,NEW YORK,10003,NEW YORK,PAID IN FULL,DEFAULTED,MANHATTAN,12/17/2015,08:30:00,MANHATTAN,12/23/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$830.00,$830.00,$0.00,Compliance Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000232J,09/21/2015,02:00:00,DEPT. OF BUILDINGS,THE RIVERSIDE CHURCH,,$4000.00,MANHATTAN,01991,0032,478,RIVERSIDE DRIVE,,MH,10027,NEW YORK,MANHATTAN,490,RIVERSIDE DRIVE,NEW YORK,10027,NEW YORK,DOCKETED,DEFAULTED,MANHATTAN,11/12/2015,10:30:00,,11/17/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,02/29/2016,,$4000.00,$0.00,$0.00,Both Due,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000262K,09/21/2015,11:15:00,DEPT. OF BUILDINGS,ONE COLUMBUS PLACE PARTNERS LL,,$0.00,MANHATTAN,01068,0003,400,WEST 59 STREET,,NEW YORK,10019,NEW YORK,MANHATTAN,400,WEST 59 STREET,NEW YORK,10019,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/27/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000261Z,09/21/2015,02:10:00,DEPT. OF BUILDINGS,OWNER OF 345 EAST 50 STREET,,$0.00,MANHATTAN,01343,7504,345,EAST 50 STREET,,MANHATTAN,10022,NEW YORK,MANHATTAN,345,EAST 50 STREET,NEW YORK,10022,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/29/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000259J,09/21/2015,10:05:00,DEPT. OF BUILDINGS,ALLEN PLAZA ASSOC.,,$0.00,MANHATTAN,00493,7501,16,PRINCE STREET,,NY,10012,NEW YORK,MANHATTAN,666,BROADWAY,NY,10012,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000264Y,09/21/2015,07:15:00,DEPT. OF BUILDINGS,203 EAST 72 STREET CORP,,$0.00,MANHATTAN,01427,0001,1257,3 AVENUE,,MANHATTAN,10021,NEW YORK,MANHATTAN,201,EAST 42 STREET,NEW YORK,10017,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,01/07/2016,08:30:00,MANHATTAN,01/07/2016,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000274H,09/21/2015,09:10:00,DEPT. OF BUILDINGS,460 PARK AVE SOUTH ASSOCIAT,,$0.00,MANHATTAN,00860,0045,450,PARK AVENUE SOUTH,,MAN,10016,NEW YORK,NOT NYC,,PO BOX 17663,ARLINGTON,22216,VIRGINIA,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/02/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000271M,09/21/2015,07:50:00,DEPT. OF BUILDINGS,DASILVA ROGER M,,$0.00,MANHATTAN,00890,7503,143,EAST 34 STREET,,MAN,10016,NEW YORK,MANHATTAN,143,EAST 34 STREET,NEW YORK,10016,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/20/2015,$800.00,"28-317.3,FAILURE TO REGISTER COOLING TOWER.REM:COMPLY W CODE",,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000278P,09/21/2015,04:50:00,DEPT. OF BUILDINGS,LYCEE FRANCAIS DE NEW YORK,,$0.00,MANHATTAN,01487,0005,503,EAST 75 STREET,,MANHATTAN,10021,NEW YORK,MANHATTAN,503,EAST 75 STREET,NEW YORK,10021,NEW YORK,HEARING COMPLETED,IN VIOLATION,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,10/22/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000275J,09/21/2015,12:55:00,DEPT. OF BUILDINGS,EXTRA PLACE HDFC,,$0.00,MANHATTAN,00457,0001,305,BOWERY,,MH,10003,NEW YORK,MANHATTAN,902,BROADWAY,NEW YORK,10010,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,10/30/2015,10:30:00,MANHATTAN,10/30/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM:COMPLY WITH CODE,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000268L,09/21/2015,03:30:00,DEPT. OF BUILDINGS,SL GREEN REALTY CORP,,$0.00,MANHATTAN,01329,0001,915,3 AVENUE,,MANHATTAN,10022,NEW YORK,MANHATTAN,919,3 AVENUE,NEW YORK,10022,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/04/2015,10:30:00,MANHATTAN,11/04/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER.REM COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000285N,09/21/2015,04:05:00,DEPT. OF BUILDINGS,YESHIVA UNIVERSITY,,$0.00,MANHATTAN,02156,0061,515,WEST 185 STREET,,NY,10033,NEW YORK,MANHATTAN,2495,AMSTERDAM AVENUE,NY,10033,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/09/2015,10:30:00,MANHATTAN,11/09/2015,$800.00,28-317.3 FAILURE TO REGISTER COOLING TOWER. RMDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000280Y,09/21/2015,07:55:00,DEPT. OF BUILDINGS,270 GREENWICH STREET ASSOC.,,$0.00,MANHATTAN,00142,7501,270,GREENWICH STREET,,NY,10007,NEW YORK,MANHATTAN,1325,AVENUE OF THE AMERICAS,NY,10019,NEW YORK,HEARING COMPLETED,DISMISSED,MANHATTAN,11/12/2015,10:30:00,MANHATTAN,11/12/2015,$800.00,SEC. 287-317.3 FAILURE TO REGISTER COOLING TOWER. REMEDY: COMPLY W CODE.,,,$0.00,$0.00,$0.00,All Terms Met,,B206,AC 27MISCAC28MISCBCMI,MISCELLANEOUS VIOLATIONS,$800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
